name,housing_type,identification_model,residence_type,district,supply_area,standard_unit,specific_unit,multi_child,newlywed_couple,first_time,youth,sup_elder,elder,institute_recommend,moved_institute,ect,support_amount,second_priority_deposit,application_deposit
인천 용현 경남아너스빌(조합원취소분),059.8058,2023000318(01),민영,,83.3205,32,34,7,12,6,0,2,,7,0,0,46409,,
인천 용현 경남아너스빌(조합원취소분),075.0304,2023000318(02),민영,,97.7893,10,11,2,4,2,0,1,,2,0,0,49720,,
일도이동 유피테르 6차,055.7900A,2023000334(01),민영,,64.5383,2,0,,,,,,,,,,32000,,
일도이동 유피테르 6차,098.5880A,2023000334(02),민영,,113.137,7,0,,,,,,,,,,53000,,
일도이동 유피테르 6차,105.4250A,2023000334(03),민영,,120.419,5,0,,,,,,,,,,60000,,
일도이동 유피테르 6차,110.1125A,2023000334(04),민영,,126.944,8,0,,,,,,,,,,53000,,
일도이동 유피테르 6차,129.6150A,2023000334(05),민영,,147.932,18,0,,,,,,,,,,59000,,
주안 극동스타클래스 더 로얄(3차),059.6948A,,,,,4,,,,,,,,,,,,,
청량리 롯데캐슬 하이루체,051.4261A,2023000281(01),민영,,70.098,31,37,0,20,10,0,0,,7,0,0,72800,,
청량리 롯데캐슬 하이루체,059.9314B,2023000281(03),민영,,81.5514,37,30,10,7,3,0,3,,7,0,0,84700,,
청량리 롯데캐슬 하이루체,059.9753A,2023000281(02),민영,,81.4306,20,18,7,4,2,0,2,,3,0,0,82800,,
춘천 레이크시티 아이파크,063.0124,2023000319(01),민영,,85.7258,108,101,20,37,18,0,6,,20,0,0,40720,,
춘천 레이크시티 아이파크,076.2801,2023000319(02),민영,,102.635,48,40,8,15,7,0,2,,8,0,0,46940,,
춘천 레이크시티 아이파크,084.3380A,2023000319(03),민영,,112.834,170,166,33,60,30,0,10,,33,0,0,53750,,
춘천 레이크시티 아이파크,084.4653B,2023000319(04),민영,,112.708,85,82,16,30,15,0,5,,16,0,0,53690,,
춘천 레이크시티 아이파크,084.7770C,2023000319(05),민영,,114.651,18,13,3,5,2,0,0,,3,0,0,53510,,
춘천 레이크시티 아이파크,105.6716,2023000319(06),민영,,140.777,36,5,4,0,0,0,1,,0,0,0,68960,,
춘천 레이크시티 아이파크,137.1486,2023000319(07),민영,,184.607,1,0,0,0,0,0,0,,0,0,0,152230,,
춘천 레이크시티 아이파크,138.4134,2023000319(08),민영,,189.672,1,0,0,0,0,0,0,,0,0,0,156460,,
춘천 하우스디 시그니처 98(임의공급 1차),106.5499,,,,,38,,,,,,,,,,,,,
