name,supply_type,recruit_date,sub_specific_region_start,sub_specific_region_end,sub_other_region_start,sub_other_region_end,sub_all_region_start,sub_all_region_end,reception_venue,winner_announce_date,winner_announce_link,contract_date_start,contract_date_end,estimated_move_in_date
검단신도시 금강펜테리움 3차 센트럴파크(2차),구분없음,2023-07-20 00:00:00,,,,,2023-07-25 00:00:00,2023-07-25 00:00:00,,2023-07-28 00:00:00,,2023-07-31 00:00:00,2023-07-31 00:00:00,2025-11-01 00:00:00
광명 센트럴 아이파크,1순위,2023-07-21 00:00:00,2023-08-01 00:00:00,2023-08-01 00:00:00,2023-08-01 00:00:00,2023-08-01 00:00:00,,,인터넷,2023-08-08 00:00:00,https://hdc.i-park.com/gwangmyeong ,2023-08-22 00:00:00,2023-08-25 00:00:00,2025-11-01 00:00:00
광명 센트럴 아이파크,2순위,2023-07-21 00:00:00,2023-08-02 00:00:00,2023-08-02 00:00:00,2023-08-02 00:00:00,2023-08-02 00:00:00,,,인터넷,2023-08-08 00:00:00,https://hdc.i-park.com/gwangmyeong ,2023-08-22 00:00:00,2023-08-25 00:00:00,2025-11-01 00:00:00
광명 센트럴 아이파크,특별공급,2023-07-21 00:00:00,2023-07-31 00:00:00,2023-07-31 00:00:00,2023-07-31 00:00:00,2023-07-31 00:00:00,,,인터넷,2023-08-08 00:00:00,https://hdc.i-park.com/gwangmyeong ,2023-08-22 00:00:00,2023-08-25 00:00:00,2025-11-01 00:00:00
광주 서구 광천동 PH543,1순위,2023-06-30 00:00:00,2023-07-11 00:00:00,2023-07-11 00:00:00,2023-07-11 00:00:00,2023-07-11 00:00:00,,,인터넷,2023-07-18 00:00:00,http://www.ph543.co.kr ,2023-07-29 00:00:00,2023-07-31 00:00:00,2026-08-01 00:00:00
광주 서구 광천동 PH543,2순위,2023-06-30 00:00:00,2023-07-12 00:00:00,2023-07-12 00:00:00,2023-07-12 00:00:00,2023-07-12 00:00:00,,,인터넷,2023-07-18 00:00:00,http://www.ph543.co.kr ,2023-07-29 00:00:00,2023-07-31 00:00:00,2026-08-01 00:00:00
광주 서구 광천동 PH543,특별공급,2023-06-30 00:00:00,2023-07-10 00:00:00,2023-07-10 00:00:00,2023-07-10 00:00:00,2023-07-10 00:00:00,,,인터넷,2023-07-18 00:00:00,http://www.ph543.co.kr ,2023-07-29 00:00:00,2023-07-31 00:00:00,2026-08-01 00:00:00
남구로역 동일 센타시아(임의공급) 3차,구분없음,2023-07-12 00:00:00,,,,,2023-07-17 00:00:00,2023-07-17 00:00:00,,2023-07-20 00:00:00,,2023-07-21 00:00:00,2023-07-22 00:00:00,2024-04-01 00:00:00
남해 타운하우스,1순위,2023-07-07 00:00:00,2023-07-18 00:00:00,2023-07-18 00:00:00,2023-07-18 00:00:00,2023-07-18 00:00:00,,,인터넷,2023-07-25 00:00:00,,2023-08-07 00:00:00,2023-08-09 00:00:00,2023-08-01 00:00:00
남해 타운하우스,2순위,2023-07-07 00:00:00,2023-07-19 00:00:00,2023-07-19 00:00:00,2023-07-19 00:00:00,2023-07-19 00:00:00,,,인터넷,2023-07-25 00:00:00,,2023-08-07 00:00:00,2023-08-09 00:00:00,2023-08-01 00:00:00
남해 타운하우스,특별공급,2023-07-07 00:00:00,2023-07-17 00:00:00,2023-07-17 00:00:00,2023-07-17 00:00:00,2023-07-17 00:00:00,,,인터넷,2023-07-25 00:00:00,,2023-08-07 00:00:00,2023-08-09 00:00:00,2023-08-01 00:00:00
대연 디아이엘,1순위,2023-06-30 00:00:00,2023-07-11 00:00:00,2023-07-11 00:00:00,2023-07-11 00:00:00,2023-07-11 00:00:00,,,인터넷,2023-07-18 00:00:00,https://www.lottecastle.co.kr/APT/AT00398/main/index.do ,2023-08-02 00:00:00,2023-08-08 00:00:00,2027-04-01 00:00:00
대연 디아이엘,2순위,2023-06-30 00:00:00,2023-07-12 00:00:00,2023-07-12 00:00:00,2023-07-12 00:00:00,2023-07-12 00:00:00,,,인터넷,2023-07-18 00:00:00,https://www.lottecastle.co.kr/APT/AT00398/main/index.do ,2023-08-02 00:00:00,2023-08-08 00:00:00,2027-04-01 00:00:00
대연 디아이엘,특별공급,2023-06-30 00:00:00,2023-07-10 00:00:00,2023-07-10 00:00:00,2023-07-10 00:00:00,2023-07-10 00:00:00,,,인터넷,2023-07-18 00:00:00,https://www.lottecastle.co.kr/APT/AT00398/main/index.do ,2023-08-02 00:00:00,2023-08-08 00:00:00,2027-04-01 00:00:00
더샵 신문그리니티,1순위,2023-07-06 00:00:00,2023-07-18 00:00:00,2023-07-18 00:00:00,2023-07-18 00:00:00,2023-07-18 00:00:00,,,인터넷,2023-07-25 00:00:00,https://www.더샵신문그리니티.kr ,2023-08-05 00:00:00,2023-08-07 00:00:00,2026-02-01 00:00:00
더샵 신문그리니티,2순위,2023-07-06 00:00:00,2023-07-19 00:00:00,2023-07-19 00:00:00,2023-07-19 00:00:00,2023-07-19 00:00:00,,,인터넷,2023-07-25 00:00:00,https://www.더샵신문그리니티.kr ,2023-08-05 00:00:00,2023-08-07 00:00:00,2026-02-01 00:00:00
더샵 신문그리니티,특별공급,2023-07-06 00:00:00,2023-07-17 00:00:00,2023-07-17 00:00:00,2023-07-17 00:00:00,2023-07-17 00:00:00,,,인터넷,2023-07-25 00:00:00,https://www.더샵신문그리니티.kr ,2023-08-05 00:00:00,2023-08-07 00:00:00,2026-02-01 00:00:00
동대구역 화성파크드림,일반공급,2023-07-26 00:00:00,,,,,2023-08-01 00:00:00,2023-08-01 00:00:00,인터넷,2023-08-04 00:00:00,,2023-08-11 00:00:00,2023-08-11 00:00:00,2023-08-01 00:00:00
동대구역 화성파크드림,특별공급,2023-07-26 00:00:00,,,,,2023-07-31 00:00:00,2023-07-31 00:00:00,인터넷,2023-08-04 00:00:00,,2023-08-11 00:00:00,2023-08-11 00:00:00,2023-08-01 00:00:00
둔촌 현대수린나,1순위,2023-06-30 00:00:00,2023-07-11 00:00:00,2023-07-11 00:00:00,2023-07-11 00:00:00,2023-07-11 00:00:00,,,인터넷,2023-07-18 00:00:00,https://www.현대수린나.com ,2023-07-31 00:00:00,2023-08-02 00:00:00,2023-10-01 00:00:00
둔촌 현대수린나,2순위,2023-06-30 00:00:00,2023-07-12 00:00:00,2023-07-12 00:00:00,2023-07-12 00:00:00,2023-07-12 00:00:00,,,인터넷,2023-07-18 00:00:00,https://www.현대수린나.com ,2023-07-31 00:00:00,2023-08-02 00:00:00,2023-10-01 00:00:00
둔촌 현대수린나,특별공급,2023-06-30 00:00:00,2023-07-10 00:00:00,2023-07-10 00:00:00,2023-07-10 00:00:00,2023-07-10 00:00:00,,,인터넷,2023-07-18 00:00:00,https://www.현대수린나.com ,2023-07-31 00:00:00,2023-08-02 00:00:00,2023-10-01 00:00:00
롯데캐슬 이스트폴,1순위,2023-07-21 00:00:00,2023-08-01 00:00:00,2023-08-01 00:00:00,2023-08-01 00:00:00,2023-08-01 00:00:00,,,인터넷,2023-08-09 00:00:00,https://www.lottecastle.co.kr/APT/AT00394/main/index.do ,2023-08-21 00:00:00,2023-08-25 00:00:00,2025-03-01 00:00:00
롯데캐슬 이스트폴,2순위,2023-07-21 00:00:00,2023-08-02 00:00:00,2023-08-02 00:00:00,2023-08-02 00:00:00,2023-08-02 00:00:00,,,인터넷,2023-08-09 00:00:00,https://www.lottecastle.co.kr/APT/AT00394/main/index.do ,2023-08-21 00:00:00,2023-08-25 00:00:00,2025-03-01 00:00:00
롯데캐슬 이스트폴,특별공급,2023-07-21 00:00:00,2023-07-31 00:00:00,2023-07-31 00:00:00,2023-07-31 00:00:00,2023-07-31 00:00:00,,,인터넷,2023-08-09 00:00:00,https://www.lottecastle.co.kr/APT/AT00394/main/index.do ,2023-08-21 00:00:00,2023-08-25 00:00:00,2025-03-01 00:00:00
부천 원종 길성그랑프리텔 무순위(사후),구분없음,2023-07-17 00:00:00,,,,,2023-07-24 00:00:00,2023-07-24 00:00:00,,2023-07-27 00:00:00,,2023-08-03 00:00:00,2023-08-05 00:00:00,2023-08-01 00:00:00
부천 원종 아이원시티(4차),구분없음,2023-06-28 00:00:00,,,,,2023-07-03 00:00:00,2023-07-04 00:00:00,,2023-07-07 00:00:00,,2023-07-14 00:00:00,2023-07-17 00:00:00,2023-07-01 00:00:00
부평 SK VIEW 해모로,구분없음,2023-07-07 00:00:00,,,,,2023-07-12 00:00:00,2023-07-13 00:00:00,,2023-07-18 00:00:00,https://www.bp-skh.co.kr,2023-07-20 00:00:00,2023-07-22 00:00:00,2023-07-01 00:00:00
북천안자이 포레스트(2차),1순위,2023-07-21 00:00:00,2023-08-01 00:00:00,2023-08-01 00:00:00,2023-08-01 00:00:00,2023-08-01 00:00:00,,,인터넷,2023-08-08 00:00:00,https://xi.co.kr/bcx ,2023-08-21 00:00:00,2023-08-23 00:00:00,2023-10-01 00:00:00
북천안자이 포레스트(2차),2순위,2023-07-21 00:00:00,2023-08-02 00:00:00,2023-08-02 00:00:00,2023-08-02 00:00:00,2023-08-02 00:00:00,,,인터넷,2023-08-08 00:00:00,https://xi.co.kr/bcx ,2023-08-21 00:00:00,2023-08-23 00:00:00,2023-10-01 00:00:00
북천안자이 포레스트(2차),특별공급,2023-07-21 00:00:00,2023-07-31 00:00:00,2023-07-31 00:00:00,2023-07-31 00:00:00,2023-07-31 00:00:00,,,인터넷,2023-08-08 00:00:00,https://xi.co.kr/bcx ,2023-08-21 00:00:00,2023-08-23 00:00:00,2023-10-01 00:00:00
서대구역 서한이다음 더퍼스트,구분없음,2023-07-06 00:00:00,,,,,2023-07-11 00:00:00,2023-07-12 00:00:00,,2023-07-17 00:00:00,,2023-07-18 00:00:00,2023-07-21 00:00:00,2023-07-01 00:00:00
